step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
32500,student_h,adjacent,32000,500,0.000847,0.000239,0.000608,0.957385
32500,student_h,vs_initial,0,32500,0.921129,0.679265,0.241864,0.016620
32500,teacher_h,adjacent,32000,500,0.000672,0.000208,0.000464,0.962540
32500,teacher_h,vs_initial,0,32500,0.921037,0.679198,0.241839,0.016932
33000,student_h,adjacent,32500,500,0.000905,0.000240,0.000665,0.943446
33000,student_h,vs_initial,0,33000,0.921725,0.678716,0.243009,0.017849
33000,teacher_h,adjacent,32500,500,0.000863,0.000239,0.000624,0.946762
33000,teacher_h,vs_initial,0,33000,0.921732,0.678645,0.243087,0.017117
33500,student_h,adjacent,33000,500,0.000965,0.000260,0.000706,0.948935
33500,student_h,vs_initial,0,33500,0.922154,0.679192,0.242962,0.015713
33500,teacher_h,adjacent,33000,500,0.000788,0.000255,0.000533,0.955550
33500,teacher_h,vs_initial,0,33500,0.921486,0.679254,0.242233,0.016568
34000,student_h,adjacent,33500,500,0.000675,0.000203,0.000472,0.967723
34000,student_h,vs_initial,0,34000,0.923606,0.679088,0.244518,0.015482
34000,teacher_h,adjacent,33500,500,0.000674,0.000201,0.000473,0.967940
34000,teacher_h,vs_initial,0,34000,0.923157,0.679065,0.244092,0.015358
34500,student_h,adjacent,34000,500,0.001205,0.000314,0.000890,0.953767
34500,student_h,vs_initial,0,34500,0.922716,0.678437,0.244279,0.015252
34500,teacher_h,adjacent,34000,500,0.000886,0.000273,0.000612,0.962264
34500,teacher_h,vs_initial,0,34500,0.923198,0.678507,0.244692,0.015201
35000,student_h,adjacent,34500,500,0.001291,0.000291,0.000999,0.964775
35000,student_h,vs_initial,0,35000,0.925457,0.678711,0.246746,0.012133
35000,teacher_h,adjacent,34500,500,0.001038,0.000291,0.000748,0.965953
35000,teacher_h,vs_initial,0,35000,0.924893,0.678716,0.246177,0.012148
35500,student_h,adjacent,35000,500,0.001284,0.000318,0.000965,0.969356
35500,student_h,vs_initial,0,35500,0.924377,0.678263,0.246114,0.011442
35500,teacher_h,adjacent,35000,500,0.001136,0.000287,0.000849,0.972736
35500,teacher_h,vs_initial,0,35500,0.924624,0.678281,0.246343,0.011212
36000,student_h,adjacent,35500,500,0.000815,0.000251,0.000564,0.978162
36000,student_h,vs_initial,0,36000,0.922972,0.678085,0.244887,0.012120
36000,teacher_h,adjacent,35500,500,0.000784,0.000253,0.000531,0.976651
36000,teacher_h,vs_initial,0,36000,0.923572,0.678162,0.245410,0.012152
36500,student_h,adjacent,36000,500,0.000804,0.000257,0.000547,0.976238
36500,student_h,vs_initial,0,36500,0.923807,0.678017,0.245790,0.012872
36500,teacher_h,adjacent,36000,500,0.000694,0.000235,0.000459,0.979319
36500,teacher_h,vs_initial,0,36500,0.924573,0.678099,0.246474,0.012771
37000,student_h,adjacent,36500,500,0.000897,0.000314,0.000583,0.971683
37000,student_h,vs_initial,0,37000,0.926348,0.677382,0.248966,0.013300
37000,teacher_h,adjacent,36500,500,0.000838,0.000289,0.000549,0.970096
37000,teacher_h,vs_initial,0,37000,0.925918,0.677555,0.248363,0.013098
37500,student_h,adjacent,37000,500,0.001347,0.000363,0.000984,0.967650
37500,student_h,vs_initial,0,37500,0.925757,0.677335,0.248423,0.011928
37500,teacher_h,adjacent,37000,500,0.000994,0.000314,0.000679,0.971976
37500,teacher_h,vs_initial,0,37500,0.925626,0.677309,0.248317,0.012087
38000,student_h,adjacent,37500,500,0.001620,0.000336,0.001285,0.970206
38000,student_h,vs_initial,0,38000,0.926017,0.677207,0.248810,0.012191
38000,teacher_h,adjacent,37500,500,0.001106,0.000314,0.000792,0.974994
38000,teacher_h,vs_initial,0,38000,0.926368,0.677311,0.249056,0.011757
38500,student_h,adjacent,38000,500,0.000963,0.000304,0.000659,0.972820
38500,student_h,vs_initial,0,38500,0.926924,0.676636,0.250288,0.013577
38500,teacher_h,adjacent,38000,500,0.000779,0.000271,0.000508,0.977252
38500,teacher_h,vs_initial,0,38500,0.926897,0.676873,0.250024,0.013150
39000,student_h,adjacent,38500,500,0.001669,0.000386,0.001283,0.970306
39000,student_h,vs_initial,0,39000,0.928739,0.677201,0.251538,0.013763
39000,teacher_h,adjacent,38500,500,0.001485,0.000340,0.001145,0.971430
39000,teacher_h,vs_initial,0,39000,0.928550,0.677174,0.251376,0.013589
39500,student_h,adjacent,39000,500,0.001266,0.000373,0.000893,0.971478
39500,student_h,vs_initial,0,39500,0.927697,0.676967,0.250730,0.013129
39500,teacher_h,adjacent,39000,500,0.000951,0.000326,0.000624,0.974692
39500,teacher_h,vs_initial,0,39500,0.928114,0.676968,0.251146,0.013107
40000,student_h,adjacent,39500,500,0.001132,0.000318,0.000815,0.973564
40000,student_h,vs_initial,0,40000,0.928712,0.677016,0.251696,0.012980
40000,teacher_h,adjacent,39500,500,0.000929,0.000293,0.000636,0.975021
40000,teacher_h,vs_initial,0,40000,0.929016,0.677062,0.251954,0.012535
40500,student_h,adjacent,40000,500,0.001557,0.000398,0.001159,0.958222
40500,student_h,vs_initial,0,40500,0.931224,0.676900,0.254324,0.010723
40500,teacher_h,adjacent,40000,500,0.001230,0.000339,0.000891,0.968961
40500,teacher_h,vs_initial,0,40500,0.930743,0.676886,0.253857,0.010894
41000,student_h,adjacent,40500,500,0.001042,0.000351,0.000691,0.972827
41000,student_h,vs_initial,0,41000,0.930263,0.677002,0.253261,0.011800
41000,teacher_h,adjacent,40500,500,0.000940,0.000308,0.000632,0.976329
41000,teacher_h,vs_initial,0,41000,0.930403,0.677025,0.253378,0.011551
41500,student_h,adjacent,41000,500,0.001795,0.000361,0.001434,0.967259
41500,student_h,vs_initial,0,41500,0.929458,0.676493,0.252965,0.012776
41500,teacher_h,adjacent,41000,500,0.001629,0.000333,0.001296,0.974682
41500,teacher_h,vs_initial,0,41500,0.929645,0.676603,0.253042,0.012598
42000,student_h,adjacent,41500,500,0.001185,0.000398,0.000787,0.968679
42000,student_h,vs_initial,0,42000,0.929775,0.676391,0.253385,0.010774
