cell,leg,step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
arm6_v2_combab_alignT,leg_100k,100000,teacher_h,adjacent,80000,20000,0.409165,0.260579,0.148585,0.406302
arm6_v2_combab_alignT,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.621648,0.351715,0.269933,0.446155
arm6_v2_ncpc_alignS,leg_40k,20000,student_h,adjacent,0,20000,0.900785,0.659693,0.241091,0.250690
arm6_v2_ncpc_alignS,leg_40k,20000,teacher_h,adjacent,0,20000,0.901827,0.659892,0.241935,0.251635
arm6_v2_ncpc_alignS,leg_40k,40000,student_h,adjacent,20000,20000,0.620584,0.524681,0.095902,0.386651
arm6_v2_ncpc_alignS,leg_40k,40000,student_h,vs_initial,0,40000,0.949263,0.725988,0.223275,0.172909
arm6_v2_ncpc_alignS,leg_40k,40000,teacher_h,adjacent,20000,20000,0.618930,0.521786,0.097144,0.388369
arm6_v2_ncpc_alignS,leg_40k,40000,teacher_h,vs_initial,0,40000,0.943736,0.734825,0.208911,0.173102
arm6_v2_ncpc_alignS,leg_100k,60000,student_h,adjacent,40000,20000,0.616371,0.517292,0.099079,0.349273
arm6_v2_ncpc_alignS,leg_100k,60000,teacher_h,adjacent,40000,20000,0.612576,0.513108,0.099467,0.352138
arm6_v2_ncpc_alignS,leg_100k,80000,student_h,adjacent,60000,20000,0.535204,0.430276,0.104928,0.439653
arm6_v2_ncpc_alignS,leg_100k,80000,student_h,vs_initial,40000,40000,0.749654,0.604930,0.144724,0.286467
arm6_v2_ncpc_alignS,leg_100k,80000,teacher_h,adjacent,60000,20000,0.529750,0.425196,0.104554,0.445324
arm6_v2_ncpc_alignS,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.748848,0.603146,0.145702,0.286933
arm6_v2_ncpc_alignS,leg_100k,100000,student_h,adjacent,80000,20000,0.265326,0.204500,0.060826,0.703881
arm6_v2_ncpc_alignS,leg_100k,100000,student_h,vs_initial,40000,60000,0.786575,0.636619,0.149956,0.251789
arm6_v2_ncpc_alignS,leg_100k,100000,teacher_h,adjacent,80000,20000,0.260269,0.200395,0.059874,0.711224
arm6_v2_ncpc_alignS,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.785372,0.636093,0.149279,0.251225
arm6_v2_ncpc_alignT,leg_40k,20000,student_h,adjacent,0,20000,0.913667,0.683103,0.230564,0.236129
arm6_v2_ncpc_alignT,leg_40k,20000,teacher_h,adjacent,0,20000,0.914422,0.678644,0.235778,0.236578
arm6_v2_ncpc_alignT,leg_40k,40000,student_h,adjacent,20000,20000,0.622325,0.485166,0.137159,0.384741
arm6_v2_ncpc_alignT,leg_40k,40000,student_h,vs_initial,0,40000,0.956940,0.736153,0.220787,0.168033
arm6_v2_ncpc_alignT,leg_40k,40000,teacher_h,adjacent,20000,20000,0.622006,0.483834,0.138172,0.385502
arm6_v2_ncpc_alignT,leg_40k,40000,teacher_h,vs_initial,0,40000,0.958908,0.735232,0.223675,0.168135
arm6_v2_ncpc_alignT,leg_100k,60000,student_h,adjacent,40000,20000,0.487521,0.399937,0.087584,0.423321
arm6_v2_ncpc_alignT,leg_100k,60000,teacher_h,adjacent,40000,20000,0.487131,0.401085,0.086047,0.421138
arm6_v2_ncpc_alignT,leg_100k,80000,student_h,adjacent,60000,20000,0.456030,0.371248,0.084782,0.450913
arm6_v2_ncpc_alignT,leg_100k,80000,student_h,vs_initial,40000,40000,0.674059,0.539323,0.134736,0.286829
arm6_v2_ncpc_alignT,leg_100k,80000,teacher_h,adjacent,60000,20000,0.457747,0.372521,0.085226,0.450004
arm6_v2_ncpc_alignT,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.674821,0.540636,0.134185,0.286863
arm6_v2_ncpc_alignT,leg_100k,100000,student_h,adjacent,80000,20000,0.161395,0.124980,0.036415,0.802768
arm6_v2_ncpc_alignT,leg_100k,100000,student_h,vs_initial,40000,60000,0.713286,0.579945,0.133341,0.244590
arm6_v2_ncpc_alignT,leg_100k,100000,teacher_h,adjacent,80000,20000,0.161039,0.125425,0.035614,0.803231
arm6_v2_ncpc_alignT,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.712370,0.579377,0.132993,0.244292
arm6_v2_nse_alignS,leg_40k,20000,student_h,adjacent,0,20000,0.962705,0.701229,0.261476,0.175370
arm6_v2_nse_alignS,leg_40k,20000,teacher_h,adjacent,0,20000,0.962310,0.704231,0.258079,0.175332
arm6_v2_nse_alignS,leg_40k,40000,student_h,adjacent,20000,20000,0.681969,0.463651,0.218318,0.403406
arm6_v2_nse_alignS,leg_40k,40000,student_h,vs_initial,0,40000,0.983422,0.714307,0.269115,0.174516
arm6_v2_nse_alignS,leg_40k,40000,teacher_h,adjacent,20000,20000,0.677309,0.466034,0.211275,0.401947
arm6_v2_nse_alignS,leg_40k,40000,teacher_h,vs_initial,0,40000,0.987259,0.721244,0.266015,0.174265
arm6_v2_nse_alignS,leg_100k,60000,student_h,adjacent,40000,20000,0.545045,0.374987,0.170058,0.491580
arm6_v2_nse_alignS,leg_100k,60000,teacher_h,adjacent,40000,20000,0.548887,0.381784,0.167102,0.487086
arm6_v2_nse_alignS,leg_100k,80000,student_h,adjacent,60000,20000,0.426265,0.275730,0.150536,0.614067
arm6_v2_nse_alignS,leg_100k,80000,student_h,vs_initial,40000,40000,0.688267,0.487865,0.200402,0.395817
arm6_v2_nse_alignS,leg_100k,80000,teacher_h,adjacent,60000,20000,0.420717,0.269678,0.151039,0.623021
arm6_v2_nse_alignS,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.685985,0.483355,0.202630,0.401044
arm6_v2_nse_alignS,leg_100k,100000,student_h,adjacent,80000,20000,0.164891,0.118242,0.046649,0.820032
arm6_v2_nse_alignS,leg_100k,100000,student_h,vs_initial,40000,60000,0.719941,0.516443,0.203497,0.378878
arm6_v2_nse_alignS,leg_100k,100000,teacher_h,adjacent,80000,20000,0.156786,0.112798,0.043988,0.828101
arm6_v2_nse_alignS,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.718410,0.518718,0.199693,0.379278
arm6_v2_nse_alignT,leg_40k,20000,student_h,adjacent,0,20000,0.932674,0.703709,0.228964,0.176855
arm6_v2_nse_alignT,leg_40k,20000,teacher_h,adjacent,0,20000,0.933911,0.704966,0.228945,0.175296
arm6_v2_nse_alignT,leg_40k,40000,student_h,adjacent,20000,20000,0.767256,0.532526,0.234731,0.345435
arm6_v2_nse_alignT,leg_40k,40000,student_h,vs_initial,0,40000,0.989829,0.739601,0.250228,0.146540
arm6_v2_nse_alignT,leg_40k,40000,teacher_h,adjacent,20000,20000,0.768228,0.531302,0.236926,0.344894
arm6_v2_nse_alignT,leg_40k,40000,teacher_h,vs_initial,0,40000,0.990625,0.743796,0.246829,0.146295
arm6_v2_nse_alignT,leg_100k,60000,student_h,adjacent,40000,20000,0.575819,0.392585,0.183234,0.462734
arm6_v2_nse_alignT,leg_100k,60000,teacher_h,adjacent,40000,20000,0.575613,0.393125,0.182488,0.462512
arm6_v2_nse_alignT,leg_100k,80000,student_h,adjacent,60000,20000,0.340043,0.245830,0.094213,0.639714
arm6_v2_nse_alignT,leg_100k,80000,student_h,vs_initial,40000,40000,0.693264,0.496401,0.196862,0.368227
arm6_v2_nse_alignT,leg_100k,80000,teacher_h,adjacent,60000,20000,0.338925,0.245058,0.093867,0.642344
arm6_v2_nse_alignT,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.691893,0.497072,0.194822,0.367404
arm6_v2_nse_alignT,leg_100k,100000,student_h,adjacent,80000,20000,0.175802,0.128191,0.047611,0.810787
arm6_v2_nse_alignT,leg_100k,100000,student_h,vs_initial,40000,60000,0.750596,0.524767,0.225829,0.338297
arm6_v2_nse_alignT,leg_100k,100000,teacher_h,adjacent,80000,20000,0.171850,0.127162,0.044689,0.814266
arm6_v2_nse_alignT,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.748327,0.524643,0.223684,0.340670
arm6_v2_nse_alignT,leg_200k,120000,student_h,adjacent,100000,20000,0.022933,0.021820,0.001113,0.961846
arm6_v2_nse_alignT,leg_200k,120000,teacher_h,adjacent,100000,20000,0.018896,0.018594,0.000302,0.969197
arm6_v2_nse_alignT,leg_200k,140000,student_h,adjacent,120000,20000,0.008309,0.007101,0.001207,0.987130
arm6_v2_nse_alignT,leg_200k,140000,student_h,vs_initial,100000,40000,0.021913,0.020688,0.001225,0.964617
arm6_v2_nse_alignT,leg_200k,140000,teacher_h,adjacent,120000,20000,0.000078,0.000073,0.000005,0.999868
arm6_v2_nse_alignT,leg_200k,140000,teacher_h,vs_initial,100000,40000,0.017688,0.017396,0.000292,0.971156
arm6_v2_nse_alignT,leg_200k,160000,student_h,adjacent,140000,20000,0.008136,0.007087,0.001049,0.987870
arm6_v2_nse_alignT,leg_200k,160000,student_h,vs_initial,100000,60000,0.022864,0.021706,0.001158,0.963286
arm6_v2_nse_alignT,leg_200k,160000,teacher_h,adjacent,140000,20000,0.000195,0.000189,0.000006,0.999677
arm6_v2_nse_alignT,leg_200k,160000,teacher_h,vs_initial,100000,60000,0.015783,0.015497,0.000286,0.974220
arm6_v2_nse_alignT,leg_200k,180000,student_h,adjacent,160000,20000,0.012724,0.011681,0.001043,0.979939
arm6_v2_nse_alignT,leg_200k,180000,student_h,vs_initial,100000,80000,0.036893,0.035490,0.001402,0.940512
arm6_v2_nse_alignT,leg_200k,180000,teacher_h,adjacent,160000,20000,0.007331,0.007257,0.000074,0.987779
arm6_v2_nse_alignT,leg_200k,180000,teacher_h,vs_initial,100000,80000,0.031433,0.030988,0.000445,0.949123
arm6_v2_nse_alignT,leg_200k,200000,student_h,adjacent,180000,20000,0.011171,0.010193,0.000978,0.982384
arm6_v2_nse_alignT,leg_200k,200000,student_h,vs_initial,100000,100000,0.026765,0.025559,0.001206,0.955990
arm6_v2_nse_alignT,leg_200k,200000,teacher_h,adjacent,180000,20000,0.004767,0.004712,0.000055,0.992072
arm6_v2_nse_alignT,leg_200k,200000,teacher_h,vs_initial,100000,100000,0.020175,0.019815,0.000360,0.967328
