arm,step,u_batchtime,u_batchtime_e
pred,1096,0.339131,
pred,1097,0.334486,
pred,1098,0.336028,
pred,1099,0.311956,
pred,1100,0.328024,
pred,1101,0.329816,
pred,1102,0.331317,
pred,1103,0.332189,
pred,1104,0.330997,
pred,1105,0.334863,
pred,1106,0.330972,
pred,1107,0.329181,
pred,1108,0.324887,
pred,1109,0.334947,
pred,1110,0.327576,
pred,1111,0.335705,
pred,1112,0.334134,
pred,1113,0.328151,
pred,1114,0.329594,
pred,1115,0.328736,
pred,1116,0.320271,
pred,1117,0.336469,
pred,1118,0.331730,
pred,1119,0.326772,
pred,1120,0.332738,
pred,1121,0.330754,
pred,1122,0.335707,
pred,1123,0.323685,
pred,1124,0.334497,
pred,1125,0.341239,
pred,1126,0.335618,
pred,1127,0.334577,
pred,1128,0.326857,
pred,1129,0.331635,
pred,1130,0.338442,
pred,1131,0.343498,
pred,1132,0.334329,
pred,1133,0.334499,
pred,1134,0.317851,
pred,1135,0.332421,
pred,1136,0.331190,
pred,1137,0.335125,
pred,1138,0.331672,
pred,1139,0.336096,
pred,1140,0.328884,
pred,1141,0.324943,
pred,1142,0.339547,
pred,1143,0.325870,
pred,1144,0.332652,
pred,1145,0.334102,
pred,1146,0.339203,
pred,1147,0.332550,
pred,1148,0.343038,
pred,1149,0.337390,
pred,1150,0.335416,
pred,1151,0.331045,
pred,1152,0.340096,
pred,1153,0.337461,
pred,1154,0.342873,
pred,1155,0.339528,
pred,1156,0.326894,
pred,1157,0.335577,
pred,1158,0.339115,
pred,1159,0.333180,
pred,1160,0.335417,
pred,1161,0.330583,
pred,1162,0.340084,
pred,1163,0.327899,
pred,1164,0.337776,
pred,1165,0.339224,
pred,1166,0.336132,
pred,1167,0.334960,
pred,1168,0.331768,
pred,1169,0.326230,
pred,1170,0.326267,
pred,1171,0.321458,
pred,1172,0.334307,
pred,1173,0.329892,
pred,1174,0.344882,
pred,1175,0.332937,
pred,1176,0.328093,
pred,1177,0.335336,
pred,1178,0.339861,
pred,1179,0.333595,
pred,1180,0.334918,
pred,1181,0.332459,
pred,1182,0.336758,
pred,1183,0.325217,
pred,1184,0.330098,
pred,1185,0.329315,
pred,1186,0.327088,
pred,1187,0.319239,
pred,1188,0.336470,
pred,1189,0.329659,
pred,1190,0.320249,
pred,1191,0.337655,
pred,1192,0.340473,
pred,1193,0.337263,
pred,1194,0.336440,
pred,1195,0.326357,
pred,1196,0.328458,
pred,1197,0.330023,
pred,1198,0.338076,
pred,1199,0.340975,
pred,1200,0.338544,
pred,1201,0.336703,
pred,1202,0.331075,
pred,1203,0.330064,
pred,1204,0.325887,
pred,1205,0.321752,
pred,1206,0.333028,
pred,1207,0.324799,
pred,1208,0.338068,
pred,1209,0.329176,
pred,1210,0.341035,
pred,1211,0.341410,
pred,1212,0.328725,
pred,1213,0.339844,
pred,1214,0.340578,
pred,1215,0.326540,
pred,1216,0.344815,
pred,1217,0.335816,
pred,1218,0.329364,
pred,1219,0.320254,
pred,1220,0.335943,
pred,1221,0.334965,
pred,1222,0.338448,
pred,1223,0.336240,
pred,1224,0.329087,
pred,1225,0.337318,
pred,1226,0.340255,
pred,1227,0.337141,
pred,1228,0.340036,
pred,1229,0.334049,
pred,1230,0.334880,
pred,1231,0.340240,
pred,1232,0.345577,
pred,1233,0.347564,
pred,1234,0.331518,
pred,1235,0.331988,
pred,1236,0.336898,
pred,1237,0.324323,
pred,1238,0.338251,
pred,1239,0.326629,
pred,1240,0.338117,
pred,1241,0.326282,
