arm,step,one_minus_ff
pred,1023,0.094555
pred,1024,0.092956
pred,1025,0.091483
pred,1026,0.095005
pred,1027,0.094404
pred,1028,0.094089
pred,1029,0.092913
pred,1030,0.095968
pred,1031,0.092809
pred,1032,0.096962
pred,1033,0.091973
pred,1034,0.093510
pred,1035,0.090853
pred,1036,0.093579
pred,1037,0.091544
pred,1038,0.093240
pred,1039,0.092921
pred,1040,0.092555
pred,1041,0.092610
pred,1042,0.090869
pred,1043,0.090957
pred,1044,0.096776
pred,1045,0.090507
pred,1046,0.095705
pred,1047,0.093638
pred,1048,0.091555
pred,1049,0.092158
pred,1050,0.094095
pred,1051,0.095838
pred,1052,0.093879
pred,1053,0.090833
pred,1054,0.093118
pred,1055,0.092455
pred,1056,0.093350
pred,1057,0.092601
pred,1058,0.091900
pred,1059,0.092053
pred,1060,0.093967
pred,1061,0.098991
pred,1062,0.095169
pred,1063,0.092697
pred,1064,0.092965
pred,1065,0.092084
pred,1066,0.090020
pred,1067,0.091038
pred,1068,0.088780
pred,1069,0.093675
pred,1070,0.090580
pred,1071,0.096602
pred,1072,0.095647
pred,1073,0.090893
pred,1074,0.093832
pred,1075,0.091695
pred,1076,0.092580
pred,1077,0.092340
pred,1078,0.089267
pred,1079,0.088950
pred,1080,0.087440
pred,1081,0.090057
pred,1082,0.094656
pred,1083,0.091642
pred,1084,0.091258
pred,1085,0.088038
pred,1086,0.093924
pred,1087,0.092627
pred,1088,0.091378
pred,1089,0.091727
pred,1090,0.093844
pred,1091,0.089081
pred,1092,0.089808
pred,1093,0.090539
pred,1094,0.087119
pred,1095,0.091624
pred,1096,0.089204
pred,1097,0.091558
pred,1098,0.088057
pred,1099,0.091152
pred,1100,0.088864
pred,1101,0.089143
pred,1102,0.088754
pred,1103,0.090227
pred,1104,0.087170
pred,1105,0.089729
pred,1106,0.087012
pred,1107,0.088172
pred,1108,0.089129
pred,1109,0.091884
pred,1110,0.089962
pred,1111,0.091859
pred,1112,0.090839
pred,1113,0.087530
pred,1114,0.088216
pred,1115,0.086951
pred,1116,0.087927
pred,1117,0.093155
pred,1118,0.089531
pred,1119,0.087862
pred,1120,0.091302
pred,1121,0.092557
pred,1122,0.094125
pred,1123,0.090007
pred,1124,0.097467
pred,1125,0.091379
pred,1126,0.090829
pred,1127,0.091403
pred,1128,0.088831
pred,1129,0.090647
pred,1130,0.088593
pred,1131,0.090223
pred,1132,0.090359
pred,1133,0.091877
pred,1134,0.087116
pred,1135,0.086429
pred,1136,0.088807
pred,1137,0.094921
pred,1138,0.093132
pred,1139,0.087902
pred,1140,0.089225
pred,1141,0.086792
pred,1142,0.088719
pred,1143,0.088973
pred,1144,0.086724
pred,1145,0.090596
pred,1146,0.087600
pred,1147,0.088615
pred,1148,0.091512
pred,1149,0.090556
pred,1150,0.088973
pred,1151,0.090398
pred,1152,0.090736
pred,1153,0.088236
pred,1154,0.089302
pred,1155,0.087340
pred,1156,0.086995
pred,1157,0.088515
pred,1158,0.086849
pred,1159,0.087064
pred,1160,0.089883
pred,1161,0.087570
pred,1162,0.089186
pred,1163,0.088526
pred,1164,0.090313
pred,1165,0.089072
pred,1166,0.089227
pred,1167,0.092018
pred,1168,0.092057
pred,1169,0.087509
pred,1170,0.088123
pred,1171,0.087040
pred,1172,0.089041
pred,1173,0.084883
pred,1174,0.089529
pred,1175,0.088695
pred,1176,0.087939
pred,1177,0.090771
pred,1178,0.089591
pred,1179,0.085956
pred,1180,0.089132
pred,1181,0.087903
pred,1182,0.083648
pred,1183,0.087180
pred,1184,0.088061
pred,1185,0.086982
pred,1186,0.085853
pred,1187,0.087434
pred,1188,0.084568
pred,1189,0.090795
pred,1190,0.087064
pred,1191,0.088640
pred,1192,0.091407
pred,1193,0.086950
pred,1194,0.087971
pred,1195,0.088864
pred,1196,0.087331
pred,1197,0.084118
pred,1198,0.088037
pred,1199,0.085461
pred,1200,0.087162
pred,1201,0.088754
pred,1202,0.089108
pred,1203,0.088220
pred,1204,0.086615
pred,1205,0.084570
pred,1206,0.086560
pred,1207,0.088575
pred,1208,0.087338
pred,1209,0.086479
pred,1210,0.085914
pred,1211,0.089884
pred,1212,0.087237
pred,1213,0.087025
pred,1214,0.087039
pred,1215,0.084567
pred,1216,0.084951
pred,1217,0.084679
pred,1218,0.085740
pred,1219,0.084408
pred,1220,0.083913
pred,1221,0.087338
pred,1222,0.087831
pred,1223,0.086452
pred,1224,0.086606
pred,1225,0.086149
pred,1226,0.083221
pred,1227,0.087694
pred,1228,0.084684
pred,1229,0.079920
pred,1230,0.081021
pred,1231,0.083543
pred,1232,0.083631
pred,1233,0.087035
pred,1234,0.088125
pred,1235,0.089334
pred,1236,0.088909
pred,1237,0.089255
pred,1238,0.085858
pred,1239,0.084311
pred,1240,0.080248
pred,1241,0.087301
pred,1242,0.081785
pred,1243,0.090015
pred,1244,0.085044
pred,1245,0.085846
pred,1246,0.086051
pred,1247,0.085358
pred,1248,0.083616
pred,1249,0.084995
pred,1250,0.082691
pred,1251,0.088212
pred,1252,0.086088
pred,1253,0.083465
pred,1254,0.084750
pred,1255,0.084806
pred,1256,0.084500
pred,1257,0.082940
pred,1258,0.082591
pred,1259,0.083187
pred,1260,0.084061
pred,1261,0.086183
pred,1262,0.085077
pred,1263,0.085825
pred,1264,0.085187
pred,1265,0.084738
pred,1266,0.084278
pred,1267,0.084881
pred,1268,0.086626
pred,1269,0.085734
pred,1270,0.083291
pred,1271,0.084449
pred,1272,0.085545
pred,1273,0.082753
pred,1274,0.081968
pred,1275,0.087002
pred,1276,0.082800
pred,1277,0.084752
pred,1278,0.083407
pred,1279,0.082095
pred,1280,0.081957
pred,1281,0.086917
pred,1282,0.084382
pred,1283,0.086789
pred,1284,0.087028
pred,1285,0.085374
pred,1286,0.082494
pred,1287,0.082319
pred,1288,0.084064
pred,1289,0.084945
pred,1290,0.083650
pred,1291,0.080583
pred,1292,0.083369
pred,1293,0.081434
pred,1294,0.080708
pred,1295,0.079840
pred,1296,0.078478
pred,1297,0.080026
pred,1298,0.081486
pred,1299,0.084365
pred,1300,0.081048
pred,1301,0.082964
pred,1302,0.083529
pred,1303,0.084881
pred,1304,0.085635
pred,1305,0.082202
pred,1306,0.082024
pred,1307,0.082133
pred,1308,0.082778
pred,1309,0.077932
pred,1310,0.082681
pred,1311,0.079991
pred,1312,0.079996
pred,1313,0.080014
pred,1314,0.079685
pred,1315,0.081440
pred,1316,0.080943
pred,1317,0.081620
pred,1318,0.077574
pred,1319,0.080247
pred,1320,0.080642
pred,1321,0.079535
pred,1322,0.085023
pred,1323,0.083884
pred,1324,0.085541
pred,1325,0.086367
pred,1326,0.082290
pred,1327,0.082042
pred,1328,0.079762
pred,1329,0.078610
pred,1330,0.080582
pred,1331,0.078633
pred,1332,0.080958
pred,1333,0.082815
pred,1334,0.085297
pred,1335,0.081621
pred,1336,0.083150
pred,1337,0.082701
pred,1338,0.080836
pred,1339,0.081758
pred,1340,0.081275
pred,1341,0.080457
pred,1342,0.082127
pred,1343,0.082640
pred,1344,0.082021
pred,1345,0.078708
pred,1346,0.080773
pred,1347,0.082957
pred,1348,0.079011
pred,1349,0.076011
pred,1350,0.078460
pred,1351,0.078852
pred,1352,0.083163
pred,1353,0.079636
pred,1354,0.083812
pred,1355,0.081400
pred,1356,0.081625
pred,1357,0.082431
