stop,split,name,n,gm_rel_mase
B6_k0_bb40k_student,term,long,21,1.688142
B6_k0_bb40k_student,term,medium,21,1.666900
B6_k0_bb40k_student,term,short,55,1.162075
B6_k0_bb40k_student,domain,Econ/Fin,6,2.213600
B6_k0_bb40k_student,domain,Energy,32,1.603766
B6_k0_bb40k_student,domain,Healthcare,5,1.293987
B6_k0_bb40k_student,domain,Nature,15,0.935296
B6_k0_bb40k_student,domain,Sales,4,0.845406
B6_k0_bb40k_student,domain,Transport,15,1.162647
B6_k0_bb40k_student,domain,Web/CloudOps,20,1.509139
B6_k0_bb100k_student,all,all,97,1.297752
B6_k0_bb100k_student,term,long,21,1.523200
B6_k0_bb100k_student,term,medium,21,1.556649
B6_k0_bb100k_student,term,short,55,1.138851
B6_k0_bb100k_student,domain,Econ/Fin,6,1.816887
B6_k0_bb100k_student,domain,Energy,32,1.573475
B6_k0_bb100k_student,domain,Healthcare,5,1.178962
B6_k0_bb100k_student,domain,Nature,15,0.935403
B6_k0_bb100k_student,domain,Sales,4,0.875996
B6_k0_bb100k_student,domain,Transport,15,1.163307
B6_k0_bb100k_student,domain,Web/CloudOps,20,1.325287
B6_k0_bb200k_student,all,all,97,1.301113
B6_k0_bb200k_student,term,long,21,1.561056
B6_k0_bb200k_student,term,medium,21,1.592225
B6_k0_bb200k_student,term,short,55,1.123648
B6_k0_bb200k_student,domain,Econ/Fin,6,1.705762
B6_k0_bb200k_student,domain,Energy,32,1.586208
B6_k0_bb200k_student,domain,Healthcare,5,1.224161
B6_k0_bb200k_student,domain,Nature,15,0.915388
B6_k0_bb200k_student,domain,Sales,4,0.844490
B6_k0_bb200k_student,domain,Transport,15,1.164745
B6_k0_bb200k_student,domain,Web/CloudOps,20,1.368107
B7_k0_bb40k_student,all,all,97,1.315921
B7_k0_bb40k_student,term,long,21,1.495672
B7_k0_bb40k_student,term,medium,21,1.489371
B7_k0_bb40k_student,term,short,55,1.195271
B7_k0_bb40k_student,domain,Econ/Fin,6,2.055422
B7_k0_bb40k_student,domain,Energy,32,1.565649
B7_k0_bb40k_student,domain,Healthcare,5,1.233734
B7_k0_bb40k_student,domain,Nature,15,0.945838
B7_k0_bb40k_student,domain,Sales,4,0.923317
B7_k0_bb40k_student,domain,Transport,15,1.095508
B7_k0_bb40k_student,domain,Web/CloudOps,20,1.397762
B7_k0_bb100k_student,all,all,97,1.301226
B7_k0_bb100k_student,term,long,21,1.488600
B7_k0_bb100k_student,term,medium,21,1.474106
B7_k0_bb100k_student,term,short,55,1.178581
B7_k0_bb100k_student,domain,Econ/Fin,6,1.923427
B7_k0_bb100k_student,domain,Energy,32,1.542826
B7_k0_bb100k_student,domain,Healthcare,5,1.253268
B7_k0_bb100k_student,domain,Nature,15,0.948337
B7_k0_bb100k_student,domain,Sales,4,0.906378
B7_k0_bb100k_student,domain,Transport,15,1.096885
B7_k0_bb100k_student,domain,Web/CloudOps,20,1.378051
