arm_slug,label,step_later,drift_h,drift_e
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),30000,0.919215,0.582512
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),40000,0.909853,0.321177
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),50000,0.900546,0.271414
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),75000,0.933497,0.402552
arm3_combab,arm 3 combab  (τ=1.0 + cpc=0 + sigreg_e=0),100000,0.917901,0.307092
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),10000,0.929338,0.557846
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),20000,1.069152,0.600743
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),30000,0.889307,0.402555
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),40000,0.975458,0.342756
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),50000,0.830125,0.296039
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),75000,0.908948,0.226245
arm4_combab,arm 4 combab  (τ=1.0 + cpc=0 + sigreg_e=0),100000,0.932024,0.215859
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",10000,0.889308,0.701193
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",20000,0.951091,0.384748
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",30000,0.946588,0.616017
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",40000,0.915385,0.356207
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",50000,0.875230,0.355675
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",75000,0.763813,0.381692
arm5_combab,"arm 5 combab  (L_align→teacher + L_rep, τ_rep=1.0 + cpc=0)",100000,0.888561,0.455725
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",10000,0.669524,0.489594
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",20000,0.920585,0.686166
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",30000,0.811845,0.491755
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",40000,0.883497,0.285281
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",50000,0.877507,0.362066
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",75000,0.907972,0.465440
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",100000,0.896839,0.418429
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",125000,0.917586,0.654271
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",150000,0.952022,0.428467
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",175000,1.023869,0.384218
arm6_v2_combab,"arm 6 v2 combab  (L_align→teacher + L_rep_moco, τ_rep=1.0 + cpc=0)",200000,0.981488,0.665195
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),10000,0.952091,0.536194
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),20000,1.031315,0.419109
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),30000,0.989711,0.317425
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),40000,0.952453,0.341483
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),50000,1.160519,0.325382
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),75000,0.993670,0.384507
bimoco_combab,bimoco combab  (all τ=1.0 + cpc=0),100000,0.986063,0.460708
