step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
42500,teacher_h,adjacent,42000,500,0.003234,0.001754,0.001479,0.908978
42500,teacher_h,vs_initial,0,42500,0.929566,0.674126,0.255440,0.011240
43000,student_h,adjacent,42500,500,0.001276,0.000375,0.000901,0.985088
43000,student_h,vs_initial,0,43000,0.930013,0.674468,0.255545,0.010904
43000,teacher_h,adjacent,42500,500,0.001087,0.000357,0.000729,0.983373
43000,teacher_h,vs_initial,0,43000,0.930429,0.674523,0.255905,0.010761
43500,student_h,adjacent,43000,500,0.002248,0.000569,0.001679,0.963173
43500,student_h,vs_initial,0,43500,0.931165,0.674057,0.257108,0.011109
43500,teacher_h,adjacent,43000,500,0.002253,0.000480,0.001773,0.966236
43500,teacher_h,vs_initial,0,43500,0.931671,0.674196,0.257475,0.011003
44000,student_h,adjacent,43500,500,0.001719,0.000589,0.001131,0.964165
44000,student_h,vs_initial,0,44000,0.930080,0.674145,0.255935,0.011988
44000,teacher_h,adjacent,43500,500,0.001543,0.000464,0.001079,0.967586
44000,teacher_h,vs_initial,0,44000,0.931123,0.674118,0.257005,0.011625
44500,student_h,adjacent,44000,500,0.002212,0.000560,0.001652,0.977023
44500,student_h,vs_initial,0,44500,0.933955,0.674223,0.259732,0.010147
44500,teacher_h,adjacent,44000,500,0.001940,0.000499,0.001442,0.976671
44500,teacher_h,vs_initial,0,44500,0.932712,0.674285,0.258427,0.010076
45000,student_h,adjacent,44500,500,0.001483,0.000389,0.001095,0.985040
45000,student_h,vs_initial,0,45000,0.933046,0.674687,0.258359,0.010075
45000,teacher_h,adjacent,44500,500,0.001145,0.000319,0.000826,0.985763
45000,teacher_h,vs_initial,0,45000,0.933065,0.674779,0.258286,0.009644
